#id;filename;obs_date
1;20000101_1247_mdiB_1_8809.fits;2000-01-01 12:47:02
2;20000101_1247_mdiB_1_8810.fits;2000-01-01 12:47:02
3;20000101_1247_mdiB_1_8812.fits;2000-01-01 12:47:02
4;20000101_1247_mdiB_1_8813.fits;2000-01-01 12:47:02
5;20000101_1247_mdiB_2_8814.fits;2000-01-01 12:47:02
6;20000102_1251_mdiB_1_8810.fits;2000-01-02 12:51:02
7;20000102_1251_mdiB_1_8813.fits;2000-01-02 12:51:02
8;20000102_1251_mdiB_1_8814.fits;2000-01-02 12:51:02
9;20000102_1251_mdiB_1_8815.fits;2000-01-02 12:51:02
10;20000103_1251_mdiB_1_8810.fits;2000-01-03 12:51:02
11;20000103_1251_mdiB_1_8813.fits;2000-01-03 12:51:02
12;20000103_1251_mdiB_1_8814.fits;2000-01-03 12:51:02
13;20000103_1251_mdiB_1_8815.fits;2000-01-03 12:51:02
14;20000104_1251_mdiB_1_8810.fits;2000-01-04 12:51:02
15;20000104_1251_mdiB_1_8813.fits;2000-01-04 12:51:02
16;20000104_1251_mdiB_1_8814.fits;2000-01-04 12:51:02
17;20000104_1251_mdiB_1_8815.fits;2000-01-04 12:51:02
18;20000104_1251_mdiB_1_8816.fits;2000-01-04 12:51:02
19;20000104_1251_mdiB_1_8817.fits;2000-01-04 12:51:02
20;20000105_1251_mdiB_1_8810.fits;2000-01-05 12:51:02
21;20000105_1251_mdiB_1_8814.fits;2000-01-05 12:51:02
22;20000105_1251_mdiB_1_8815.fits;2000-01-05 12:51:02
23;20000105_1251_mdiB_1_8816.fits;2000-01-05 12:51:02
24;20000105_1251_mdiB_1_8817.fits;2000-01-05 12:51:02
25;20000105_1251_mdiB_2_8813.fits;2000-01-05 12:51:02
26;20000106_1251_mdiB_1_8810.fits;2000-01-06 12:51:02
27;20000106_1251_mdiB_1_8816.fits;2000-01-06 12:51:02
28;20000106_1251_mdiB_1_8817.fits;2000-01-06 12:51:02
29;20000106_1251_mdiB_1_8820.fits;2000-01-06 12:51:02
30;20000106_1251_mdiB_1_8821.fits;2000-01-06 12:51:02
31;20000106_1251_mdiB_2_8813.fits;2000-01-06 12:51:02
32;20000106_1251_mdiB_3_8814.fits;2000-01-06 12:51:02
33;20000111_1251_mdiB_1_8820.fits;2000-01-11 12:51:02
34;20000111_1251_mdiB_1_8821.fits;2000-01-11 12:51:02
35;20000111_1251_mdiB_1_8822.fits;2000-01-11 12:51:02
36;20000111_1251_mdiB_1_8823.fits;2000-01-11 12:51:02
37;20000111_1251_mdiB_1_8825.fits;2000-01-11 12:51:02
38;20000111_1251_mdiB_1_8826.fits;2000-01-11 12:51:02
39;20000111_1251_mdiB_1_8827.fits;2000-01-11 12:51:02
40;20000111_1251_mdiB_1_8829.fits;2000-01-11 12:51:02
41;20000111_1251_mdiB_2_8824.fits;2000-01-11 12:51:02
42;20000112_1251_mdiB_1_8820.fits;2000-01-12 12:51:02
43;20000112_1251_mdiB_1_8821.fits;2000-01-12 12:51:02
44;20000112_1251_mdiB_1_8823.fits;2000-01-12 12:51:02
45;20000112_1251_mdiB_1_8825.fits;2000-01-12 12:51:02
46;20000112_1251_mdiB_1_8826.fits;2000-01-12 12:51:02
47;20000112_1251_mdiB_1_8827.fits;2000-01-12 12:51:02
48;20000112_1251_mdiB_1_8829.fits;2000-01-12 12:51:02
49;20000112_1251_mdiB_1_8830.fits;2000-01-12 12:51:02
50;20000112_1251_mdiB_1_8831.fits;2000-01-12 12:51:02
51;20000112_1251_mdiB_2_8824.fits;2000-01-12 12:51:02
52;20000113_1251_mdiB_1_8820.fits;2000-01-13 12:51:02
53;20000113_1251_mdiB_1_8821.fits;2000-01-13 12:51:02
54;20000113_1251_mdiB_1_8823.fits;2000-01-13 12:51:02
55;20000113_1251_mdiB_1_8825.fits;2000-01-13 12:51:02
56;20000113_1251_mdiB_1_8826.fits;2000-01-13 12:51:02
57;20000113_1251_mdiB_1_8827.fits;2000-01-13 12:51:02
58;20000113_1251_mdiB_1_8831.fits;2000-01-13 12:51:02
59;20000113_1251_mdiB_2_8824.fits;2000-01-13 12:51:02
60;20000113_1251_mdiB_2_8829.fits;2000-01-13 12:51:02
61;20000113_1251_mdiB_2_8832.fits;2000-01-13 12:51:02
62;20000114_1247_mdiB_1_8820.fits;2000-01-14 12:47:02
63;20000114_1247_mdiB_1_8821.fits;2000-01-14 12:47:02
64;20000114_1247_mdiB_1_8823.fits;2000-01-14 12:47:02
65;20000114_1247_mdiB_1_8825.fits;2000-01-14 12:47:02
66;20000114_1247_mdiB_1_8826.fits;2000-01-14 12:47:02
67;20000114_1247_mdiB_1_8827.fits;2000-01-14 12:47:02
68;20000114_1247_mdiB_1_8829.fits;2000-01-14 12:47:02
69;20000114_1247_mdiB_1_8831.fits;2000-01-14 12:47:02
70;20000114_1247_mdiB_1_8833.fits;2000-01-14 12:47:02
71;20000114_1247_mdiB_2_8824.fits;2000-01-14 12:47:02
72;20000114_1247_mdiB_2_8832.fits;2000-01-14 12:47:02
73;20000115_1247_mdiB_1_8821.fits;2000-01-15 12:47:02
74;20000115_1247_mdiB_1_8823.fits;2000-01-15 12:47:02
75;20000115_1247_mdiB_1_8825.fits;2000-01-15 12:47:02
76;20000115_1247_mdiB_1_8826.fits;2000-01-15 12:47:02
77;20000115_1247_mdiB_1_8829.fits;2000-01-15 12:47:02
78;20000115_1247_mdiB_1_8831.fits;2000-01-15 12:47:02
79;20000115_1247_mdiB_1_8833.fits;2000-01-15 12:47:02
80;20000115_1247_mdiB_1_8835.fits;2000-01-15 12:47:02
81;20000115_1247_mdiB_2_8824.fits;2000-01-15 12:47:02
82;20000115_1247_mdiB_2_8827.fits;2000-01-15 12:47:02
83;20000115_1247_mdiB_2_8832.fits;2000-01-15 12:47:02
84;20000116_1247_mdiB_1_8821.fits;2000-01-16 12:47:02
85;20000116_1247_mdiB_1_8825.fits;2000-01-16 12:47:02
86;20000116_1247_mdiB_1_8826.fits;2000-01-16 12:47:02
87;20000116_1247_mdiB_1_8829.fits;2000-01-16 12:47:02
88;20000116_1247_mdiB_1_8831.fits;2000-01-16 12:47:02
89;20000116_1247_mdiB_1_8832.fits;2000-01-16 12:47:02
90;20000116_1247_mdiB_1_8836.fits;2000-01-16 12:47:02
91;20000116_1247_mdiB_2_8824.fits;2000-01-16 12:47:02
92;20000116_1247_mdiB_2_8827.fits;2000-01-16 12:47:02
93;20000116_1247_mdiB_2_8833.fits;2000-01-16 12:47:02
94;20000117_1247_mdiB_1_8821.fits;2000-01-17 12:47:02
95;20000117_1247_mdiB_1_8825.fits;2000-01-17 12:47:02
96;20000117_1247_mdiB_1_8829.fits;2000-01-17 12:47:02
